State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,Standard_Crop,Parsed_Date
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-02-2021,5.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-02-17
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-02-2021,8.0,Metric Tonnes,1930.0,Rs./Quintal,Bajra,2021-02-18
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-02-2021,2.0,Metric Tonnes,1400.0,Rs./Quintal,Bajra,2021-02-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-02-2021,6.0,Metric Tonnes,2200.0,Rs./Quintal,Bajra,2021-02-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-02-2021,6.0,Metric Tonnes,1425.0,Rs./Quintal,Bajra,2021-02-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-02-2021,4.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-02-22
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-02-2021,6.0,Metric Tonnes,2166.67,Rs./Quintal,Bajra,2021-02-23
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-02-2021,4.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-02-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-02-2021,9.0,Metric Tonnes,1916.67,Rs./Quintal,Bajra,2021-02-25
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-02-2021,2.0,Metric Tonnes,1400.0,Rs./Quintal,Bajra,2021-02-26
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-02-2021,4.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-02-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-02-2021,5.0,Metric Tonnes,1470.6,Rs./Quintal,Bajra,2021-02-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-03-2021,7.0,Metric Tonnes,2114.29,Rs./Quintal,Bajra,2021-03-01
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-03-2021,5.0,Metric Tonnes,2385.0,Rs./Quintal,Bajra,2021-03-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-03-2021,5.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-03-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-03-2021,7.0,Metric Tonnes,2114.29,Rs./Quintal,Bajra,2021-03-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-03-2021,7.0,Metric Tonnes,2328.57,Rs./Quintal,Bajra,2021-03-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-03-2021,6.0,Metric Tonnes,2183.33,Rs./Quintal,Bajra,2021-03-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-03-2021,5.0,Metric Tonnes,1540.0,Rs./Quintal,Bajra,2021-03-07
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),08-03-2021,7.0,Metric Tonnes,2264.29,Rs./Quintal,Bajra,2021-03-08
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-03-2021,9.0,Metric Tonnes,1927.78,Rs./Quintal,Bajra,2021-03-09
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-03-2021,5.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-03-10
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-03-2021,9.0,Metric Tonnes,2094.44,Rs./Quintal,Bajra,2021-03-11
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),12-03-2021,8.0,Metric Tonnes,2187.5,Rs./Quintal,Bajra,2021-03-12
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),13-03-2021,7.0,Metric Tonnes,2228.57,Rs./Quintal,Bajra,2021-03-13
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-03-2021,8.0,Metric Tonnes,1515.63,Rs./Quintal,Bajra,2021-03-14
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-03-2021,6.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-03-15
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-03-2021,6.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-03-16
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-03-2021,1.0,Metric Tonnes,1400.0,Rs./Quintal,Bajra,2021-03-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-03-2021,3.0,Metric Tonnes,1200.0,Rs./Quintal,Bajra,2021-03-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-03-2021,4.0,Metric Tonnes,1625.0,Rs./Quintal,Bajra,2021-03-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-03-2021,7.0,Metric Tonnes,2342.86,Rs./Quintal,Bajra,2021-03-22
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-03-2021,8.0,Metric Tonnes,2362.5,Rs./Quintal,Bajra,2021-03-23
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-03-2021,7.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-03-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-03-2021,10.0,Metric Tonnes,2245.0,Rs./Quintal,Bajra,2021-03-25
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),26-03-2021,8.0,Metric Tonnes,2437.5,Rs./Quintal,Bajra,2021-03-26
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-03-2021,8.0,Metric Tonnes,2450.0,Rs./Quintal,Bajra,2021-03-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-03-2021,5.0,Metric Tonnes,1460.0,Rs./Quintal,Bajra,2021-03-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),29-03-2021,9.0,Metric Tonnes,2322.22,Rs./Quintal,Bajra,2021-03-29
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),30-03-2021,9.0,Metric Tonnes,2311.11,Rs./Quintal,Bajra,2021-03-30
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),31-03-2021,8.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-03-31
