State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-01-2021,4.0,Metric Tonnes,2093.75,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),23-01-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,23-01-2021,1.0,Metric Tonnes,1450.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,23-01-2021,7.0,Metric Tonnes,3735.71,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-01-2021,6.0,Metric Tonnes,1416.67,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,24-01-2021,1.0,Metric Tonnes,1001.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,24-01-2021,19.0,Metric Tonnes,1775.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-01-2021,5.0,Metric Tonnes,1950.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),25-01-2021,14.0,Metric Tonnes,4700.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,25-01-2021,21.0,Metric Tonnes,1451.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,25-01-2021,70.0,Metric Tonnes,2063.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-01-2021,3.0,Metric Tonnes,2450.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),27-01-2021,14.0,Metric Tonnes,4700.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,27-01-2021,7.0,Metric Tonnes,4000.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-01-2021,8.0,Metric Tonnes,1824.13,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),28-01-2021,20.0,Metric Tonnes,3975.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,28-01-2021,26.0,Metric Tonnes,1350.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,28-01-2021,93.0,Metric Tonnes,1941.48,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),29-01-2021,7.0,Metric Tonnes,1821.43,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),29-01-2021,14.0,Metric Tonnes,4600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,29-01-2021,7.0,Metric Tonnes,3950.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),30-01-2021,5.0,Metric Tonnes,1950.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),30-01-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,30-01-2021,8.0,Metric Tonnes,3387.5,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),31-01-2021,8.0,Metric Tonnes,1375.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,31-01-2021,1.0,Metric Tonnes,1575.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,31-01-2021,16.0,Metric Tonnes,1784.38,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-02-2021,5.0,Metric Tonnes,2080.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),01-02-2021,27.0,Metric Tonnes,3307.41,Rs./Quintal
