State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Onion,29-01-2021,2268.0,Metric Tonnes,2027.07,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,29-01-2021,238.0,Metric Tonnes,494.96,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,30-01-2021,14.0,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,30-01-2021,23.0,Metric Tonnes,508.7,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,31-01-2021,2812.0,Metric Tonnes,2109.58,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,31-01-2021,305.0,Metric Tonnes,563.11,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,01-02-2021,1417.0,Metric Tonnes,2414.4,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,01-02-2021,298.0,Metric Tonnes,581.38,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,02-02-2021,1764.0,Metric Tonnes,2827.98,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,02-02-2021,252.0,Metric Tonnes,497.82,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,03-02-2021,1407.0,Metric Tonnes,2923.24,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,03-02-2021,237.0,Metric Tonnes,620.46,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,04-02-2021,2135.0,Metric Tonnes,2741.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,04-02-2021,336.0,Metric Tonnes,575.74,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,05-02-2021,2049.0,Metric Tonnes,2394.36,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,05-02-2021,1070.0,Metric Tonnes,750.47,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,06-02-2021,18.0,Metric Tonnes,2019.44,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,06-02-2021,99.0,Metric Tonnes,889.9,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,07-02-2021,2157.0,Metric Tonnes,2511.54,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,07-02-2021,327.0,Metric Tonnes,605.66,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,08-02-2021,17.0,Metric Tonnes,2018.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,08-02-2021,89.0,Metric Tonnes,1051.69,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,09-02-2021,1971.0,Metric Tonnes,2671.13,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,09-02-2021,347.0,Metric Tonnes,967.15,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,10-02-2021,1129.0,Metric Tonnes,2751.95,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,10-02-2021,243.0,Metric Tonnes,854.53,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,11-02-2021,1875.0,Metric Tonnes,3145.41,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,11-02-2021,225.0,Metric Tonnes,784.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,12-02-2021,1765.0,Metric Tonnes,3143.54,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,12-02-2021,271.0,Metric Tonnes,908.12,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,13-02-2021,23.0,Metric Tonnes,2708.7,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,13-02-2021,130.0,Metric Tonnes,1287.69,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,14-02-2021,1777.0,Metric Tonnes,2763.25,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,14-02-2021,237.0,Metric Tonnes,1081.65,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,15-02-2021,1219.0,Metric Tonnes,2759.19,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,15-02-2021,205.0,Metric Tonnes,1070.73,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,16-02-2021,1543.0,Metric Tonnes,3222.07,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,16-02-2021,289.0,Metric Tonnes,1066.26,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,17-02-2021,1655.0,Metric Tonnes,2999.24,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,17-02-2021,245.0,Metric Tonnes,962.24,Rs./Quintal
